epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,701.427,2.20945,1.92264,1.55792,0.24131,0.23194,0.26004,0.11094,1.94755,2.42468,1.30228,0.00015,0.00015,0.00015
2,1267.53,1.84604,1.24622,1.24084,0.62859,0.61263,0.58502,0.29234,1.75131,1.93061,1.20042,0.000281563,0.000281563,0.000281563
3,1812.58,1.78169,1.13446,1.19854,0.73233,0.57216,0.68035,0.35541,1.71514,1.39074,1.2143,0.00038095,0.00038095,0.00038095
4,2375.04,1.78791,1.12327,1.24226,0.545,0.76845,0.71481,0.35141,1.74118,1.20071,1.22372,0.000448163,0.000448163,0.000448163
5,2854.55,1.73005,1.08064,1.20871,0.73942,0.70553,0.73429,0.3826,1.729,1.31891,1.20587,0.0004832,0.0004832,0.0004832
6,3350.79,1.71955,1.03245,1.19905,0.81716,0.72732,0.73761,0.39001,1.72875,1.02366,1.19819,0.000486063,0.000486063,0.000486063
7,3833.1,1.72301,1.04755,1.18466,0.77674,0.71384,0.7342,0.38422,1.72492,1.06593,1.21044,0.00045675,0.00045675,0.00045675
8,4324.66,1.66826,1.00861,1.18363,0.79986,0.7545,0.80291,0.397,1.70572,1.02911,1.18678,0.00038375,0.00038375,0.00038375
9,4819.75,1.6798,0.98759,1.17265,0.82089,0.78144,0.82256,0.42059,1.66772,0.97005,1.15507,0.00026,0.00026,0.00026
10,5313.18,1.6595,0.94039,1.15462,0.86736,0.76376,0.84759,0.42595,1.64169,0.91532,1.14281,0.00013625,0.00013625,0.00013625
